state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_food_and_drink,opened_personal_care,closed_entertainment,opened_entertainment,opened_retail,opened_outdoor_and_recreation,opened_industries,closed_food_and_drink,opened_houses_of_worship,closed_outdoor_and_recreation,population
GA,Georgia,reopening,Shelter in place expired on April 30.,,2020-04-30,"Gov. Brian Kemp, a Republican, went toe-to-toe with the White House and local mayors over his decision to reopen large parts of Georgia’s economy ahead of other states, starting April 24. Mr. Kemp has continued steadily with the state’s reopening plans while case counts have trended upward.",https://www.ajc.com/blog/politics/georgia-lifts-shelter-place-order-for-most-residents-over/LkIL3uqcQ5rWBp1Bfj8eDO/,Restaurant dining,"Hair salons, barbershops, etc.",,"Bowling alleys; Theaters, private social clubs; Large venues; Bars, nightclubs",Retail,Gyms,,,True,,10617423
HI,Hawaii,reopening,Stay-at-home order expired on May 31.,,2020-05-31,"Gov. David Ige, a Democrat, started the state’s reopening process in early May, when there were only a few new cases reported each day. Each island can now set its own timeline for reopening, with the governor’s approval. Despite the slow approach, Hawaii has seen a resurgence of the virus in recent days.",https://www.bigislandvideonews.com/2020/06/04/hawaii-economic-reopening-strategy-posted-online/,Restaurant dining; Bars,Pet groomers; Nail salons in some areas; Tattoo parlors in some areas; Salons and barbershops,,"Arcades, bowling alleys, theaters in some areas",Retail stores,"Beaches, piers, docks, etc.; State parks; Pools and waterparks in some areas; Campgrounds in some areas; Gyms",Construction in some areas; Offices in some areas,,True,,1415872
IA,Iowa,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Kim Reynolds, a Republican, ordered a number of businesses closed beginning March 17, but resisted calls to issue a stay-at-home order. Ms. Reynolds loosened restrictions in 77 of the state’s 99 counties starting May 1, and in all counties on May 15. Capacity limits on businesses were lifted June 10.",https://ktiv.com/2020/06/10/watch-live-gov-reynolds-hold-news-conference-on-covid-19/,Restaurant dining; Bars,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",,"Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues","Retail stores, malls","Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",,,True,,3155070
ID,Idaho,pausing,Stay-at-home order expired on April 30.,,2020-04-30,"Gov. Brad Little, a Republican, began his state’s four-stage reopening process on May 1. Idaho moved through the first three stages of reopening swiftly, but as cases surged, Mr. Little delayed a full reopening planned for June 26. After a two-week delay, on July 9, he announced the state would remain in its final stage of reopening for at least another two weeks.  ",https://www.idahopress.com/news/local/little-idaho-to-stay-in-stage-4-of-reopening/article_dfbadea9-e7ac-52ab-9015-ea534bb2284a.html,Restaurant dining; Bars,Hair salons,,Movie theaters; Nightclubs; Large venues,Retail,Gyms; Pools and water parks,,,True,,1787065
IL,Illinois,reopening,Stay-at-home order expired on May 29.,,2020-05-29,"Gov. J.B. Pritzker, a Democrat, faced political pushback for his cautious reopening strategy, but Illinois has not seen a strong upward trend in cases. On June 26, the state moved into its fourth and final stage of reopening. ",https://www.wbez.org/stories/use-this-tool-to-track-illinois-reopening-plan-by-phase-region-and-address/51871836-6a73-47dc-a8f1-18c6fe2f2a6e,Restaurant dining,"Pet grooming; Hair salons, barber shops, nail salons, spas, waxing centers, tattoo parlors",,"Museums, zoos; Theaters",Retail stores,"State parks; limited fishing, boating, golf courses; Gyms",Manufacturing; Offices,,True,,12671821
IN,Indiana,pausing,Stay-at-home order expired on May 4.,,2020-05-04,"Gov. Eric Holcomb, a Republican, eased restrictions and allowed some reopenings for most of the state beginning May 4. On July 1,  Mr. Holcomb announced that the state would pause progression to its fifth and final stage of reopening due to an increase in cases statewide and nationally. The final phase would have removed capacity limits on businesses. ",https://www.wdrb.com/in-depth/indiana-hits-pause-on-reopening-amid-rise-in-covid-19-hospitalizations-cases/article_228d294a-bbd0-11ea-8d9f-1b096ff15e0f.html,Restaurant dining; Bars and nightclubs,"Spas, salons, barbershops, tattoo parlors","Conventions, fairs, parades and similar events","Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Retail stores,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks","Manufacturing, offices",,True,,6732219
KS,Kansas,reopened,Stay-at-home order expired on May 3.,,2020-05-03,"After reopening began May 4, Gov. Laura Kelly, a Democrat, faced backlash from Republicans in the state legislature who wanted the process to move more quickly. She vetoed a measure seeking to curb her emergency powers, and allowed reopenings at the discretion of individual counties. Ms. Kelly ordered Kansans to wear masks in public beginning July 3.",https://www.kcur.org/news/2020-05-26/kansas-counties-in-charge-of-covid-19-restrictions-after-gov-kelly-vetoes-emergency-powers-bill,Restaurant dining; Bars,"Salons, barbershops, tattoo parlors",,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Retail stores,"Gyms; Community centers, sports facilities; Pools",Offices,,True,,2913314
KY,Kentucky,reopened,Healthy at home in effect since March 26.,2020-03-26,,"Gov. Andy Beshear, a Democrat, reopened businesses under new guidelines beginning in early May. The state has come to the end of its initial reopening timeline, though gatherings are still limited to 50 or fewer people and Mr. Beshear has ordered residents to wear masks in public.",https://www.wdrb.com/news/gov-beshear-announces-when-restaurants-retailers-can-operate-at-50-capacity/article_913df2dc-aa9d-11ea-bc29-e75f80881184.html,Restaurant dining; Distilleries; Bars,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Retail stores,Gyms; Aquatic centers; Campgrounds; Public pools,"Manufacturing, construction, offices",,True,,4467673
LA,Louisiana,pausing,Stay-at-home order expired on May 15.,,2020-05-15,"Gov. John Bel Edwards, a Democrat, allowed the state’s stay-at-home order to lift and an array of businesses to reopen starting May 15, after facing mounting pressure to reopen from the Republican-controlled state legislature. The state moved into the second phase of its reopening plan on June 5. On June 22, citing an increase in cases, Mr. Edwards announced that the state would remain in Phase 2 for several more weeks.",https://www.theadvocate.com/baton_rouge/news/coronavirus/article_1c2601f0-b4a8-11ea-a611-67b72e7a3c5a.html,Restaurant dining; Bars,"Salons and barbershops; Spas, tattoo parlors",,"Movie theaters; Certain museums, zoos and aquariums; Casinos; Event centers",Malls,"Gyms; State parks; Pools; Bowling alleys, skating rinks",,,True,"Amusement parks, water parks and theme parks; Concert and music halls",4648794
MA,Massachusetts,reopening,Stay-at-home advisory expired on May 18.,,2020-05-18,"Gov. Charlie Baker, a Republican, announced a phased reopening beginning in May, with four stages scheduled to last three weeks apiece. On July 2, Mr. Baker announced that the state would progress to Phase 3 on July 6, with the exception of Boston. ",https://boston.cbslocal.com/2020/07/02/coronavirus-covid-19-charlie-baker-massachusetts-news-latest-reopening-phase-3/,Restaurant dining,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons","Movie theaters; Museums and aquariums; Amusement parks, water parks and theme parks; Theaters and performance halls; Ballrooms, stadiums and convention halls","Bowling alleys in most regions; Museums, aquariums in most regions; Theaters and performance venues in most regions; Movie theaters in most regions; Casinos in most regions",Retail stores,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms in most regions","Construction, manufacturing; Offices; Hotels, lodging",Bars,True,Gyms,6892503
MD,Maryland,reopening,Stay-at-home order expired on May 15.,,2020-05-15,"Gov. Larry Hogan, a Republican who has called for an aggressive response to the virus, allowed some businesses to open with social distancing requirements starting May 15, but encouraged the adoption of more restrictive guidelines at the local level as needed. The decision to allow further reopenings in mid-June was met with criticism from a top health adviser. ",https://www.baltimoresun.com/coronavirus/bs-md-hogan-wednesday-20200610-werxiv7dancrhntfrsyrht2ae4-story.html,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars","Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Theaters,Casinos,Retail stores; Malls,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms","Manufacturing; Construction, offices",,True,,6045680
ME,Maine,reopening,Stay-at-home order expired on May 31.,,2020-05-31,"Gov. Janet Mills, a Democrat, allowed some personal care businesses to begin reopening statewide May 1 and allowed additional, accelerated reopenings in counties with few coronavirus cases. More businesses were allowed to reopen statewide on June 1, but further reopenings, including of bars, have been delayed.",https://bangordailynews.com/2020/06/22/business/janet-mills-postpones-reopening-indoor-bar-service-citing-infections-in-other-states/,Restaurants; Bars open for outdoor service,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Retail stores,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",,Bars for indoor service,True,,1344212
MI,Michigan,reversing,Stay-at-home order expired on June 1.,,2020-06-01,"Gov. Gretchen Whitmer, a Democrat, took a regional approach to reopening before lifting a statewide stay-at-home order on June 1. Some businesses were allowed to reopen statewide beginning June 8. Ms. Whitmer has since paused further statewide reopenings, and on July 1, she ordered bars in most of the state to close again for indoor service. Ms. Whitmer has since mandated the use of masks in most public settings.",https://www.freep.com/story/news/local/michigan/detroit/2020/07/01/gov-whitmer-closes-michigan-indoor-bar-service-except-up-north/5354417002/,Bars for indoor service in certain counties; Restaurant dining; Bars for outdoor service,"Pet groomers; Hair salons, barbershops, nail salons, tattoo parlors",,"Arcades, bowling alleys, theaters, night clubs and convention centers in some regions",Retail stores,"Golf courses, marinas; Pools; Gyms in some regions","Construction, real estate; Manufacturing, including auto companies; Offices",Bars for indoor service in certain counties,True,Gyms,9986857
MN,Minnesota,reopened,Stay-at-home order expired on May 17.,,2020-05-17,"Gov. Tim Walz, a Democrat, first allowed employees in certain agriculture, industrial and office settings to return to work starting April 27. More businesses were allowed to open at reduced capacity after his stay-at-home order expired in May.",https://kstp.com/news/phase-three-of-the-governors-plan-for-reopening-minnesota-goes-into-effect-wednesday/5755296/,Restaurants and bars,"Salons, barbershops, tattoo parlors",,"Theaters and concert halls; Bowling alleys, arcades and museums",Retail stores; Malls,Campgrounds; Gyms,Manufacturing; Offices,,True,,5639632
MO,Missouri,reopened,Stay-at-home order expired on May 3.,,2020-05-03,"Gov. Mike Parson, a Republican, reopened all businesses — including large venues, concerts and movie theaters — on May 4, with social distancing requirements. Mr. Parson later announced that the state would lift all restrictions on June 16. Since then, Missouri has seen several record-setting single-day increases in coronavirus cases.",https://dailyjournalonline.com/news/state-and-regional/parson-announces-missouri-will-fully-reopen-enter-phase-2-of-recovery-plan-tuesday/article_34795419-2498-5e4a-a5a9-0e075c03a043.html,Restaurant dining,"Salons, barbershops, tattoo parlors, etc.",,"Movie theaters, music venues, etc.; Casinos",Retail stores,Gyms; Campgrounds,,,True,,6137428
MS,Mississippi,pausing,Shelter in place expired on April 27.,,2020-04-27,"Gov. Tate Reeves, a Republican, let the state’s stay-at-home order expire April 27 and reopened retail stores, with some limits. All businesses were allowed to open June 1. In July, Mr. Reeves announced that the state would pause a full reopening, and he later placed additional restrictions on 13 counties, mandating the use of masks in public and limiting social gatherings. But he stopped short of ordering businesses to close again.",https://www.usnews.com/news/best-states/mississippi/articles/2020-07-01/mississippi-pausing-reopening-process-after-covid-surge,"Restaurant dining, bars",Salons and barbershops; Tattoo parlors,,"Casinos; Movie theaters; Libraries, museums",Retail stores,State parks; Gyms,,,True,,2976149
MT,Montana,reopened,Stay-at-home order expired on April 26.,,2020-04-26,"Gov. Steve Bullock, a Democrat, allowed reopening in phases, beginning in late April. Montana is one of the few states where schools had the option to reopen this academic year, and a few schools began to reopen May 7. All businesses could reopen June 1, provided they followed certain guidelines.",https://www.ktvh.com/news/montana-news/gov-bullock-phase-2-of-reopening-for-montana-begins-june-1,"Restaurant dining, bars, breweries and distilleries","Salons, barbershops, massage parlors",,"Museums, movie theaters; Concert venues; Bowling alleys; Casinos",Retail stores,Gyms,,,True,,1068778
NC,North Carolina,pausing,Stay-at-home order expired on May 22.,,2020-05-22,"Gov. Roy Cooper, a Democrat, allowed a variety of businesses to reopen in May. In late June, with cases counts trending upward, Mr. Cooper paused North Carolina’s reopening plan and required residents to wear face coverings in public. On July 7, a judge sided with bowling alleys in a legal battle challenging Mr. Cooper’s plan and ruled that they could reopen. Mr. Cooper said he will appeal the ruling.",https://www.cbs17.com/community/health/coronavirus/court-allows-nc-bowling-alleys-to-reopen-gov-cooper-requests-stay/,Restaurant dining,"Salons, barbershops, tattoo parlors",Movie theaters,,Retail stores,Pools,,Bars,True,Gyms,10488084
ND,North Dakota,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Doug Burgum, a Republican, never issued a stay-at-home order, and allowed a variety of businesses to reopen starting May 1.",https://news.prairiepublic.org/post/burgum-north-dakota-moves-next-phase-reopening-low-risk-level,"Restaurant dining, bars","Salons, tattoo parlors, massage therapy, etc.",,Movie theaters; Music and entertainment venues,Retail,Gyms; Sports venues,,,True,,762062
NE,Nebraska,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Pete Ricketts, a Republican, never issued a stay-at-home order, but he put in place several restrictions on businesses. Mr. Ricketts announced a plan to reopen certain businesses on a regional basis starting May 4, followed by all counties on June 1. Most of the state moved into Phase 3 of reopening in late June.",https://www.omaha.com/news/state_and_regional/ricketts-seeks-balance-as-he-reopens-nebraska-bars-and-loosens-limits-on-public-gatherings/article_defc4172-36c7-5f02-9cce-39214dc54437.html,Restaurant dining; Bars,"Salons, barbershops, tattoo parlors, etc.",,"Zoos, movie theaters, libraries and venues",Retail,Pools; Gyms,,,True,,1934408
NH,New Hampshire,reopened,Stay-at-home order expired on June 15.,,2020-06-15,"Gov. Chris Sununu, a Republican, gradually reopened sectors starting in mid-May. On June 15, he allowed his stay-at-home order to expire and reopened businesses on a rolling basis since. The final round of businesses reopened, with capacity limits and social distancing guidance, on June 29.",https://www.unionleader.com/news/health/coronavirus/all-nh-businesses-now-have-date-to-reopen/article_558bfac2-5c67-5163-9fa3-7d7fcb426d9f.html,Restaurant dining,"Barbershops, hair salons, etc.; Nail salons; Tanning salons; Tattoo shops; Acupuncturists and massage therapists",,"Libraries, museums, art galleries; Bowling alleys and entertainment centers; Movie theaters; Amusement parks; Live performances",Retail stores,Golf courses; Outdoor attractions; Beaches; Gyms; Pools,,,True,,1359711
NJ,New Jersey,reopening,Stay-at-home order expired on June 9.,,2020-06-09,"Gov. Phil Murphy, a Democrat, was one of the last governors to lift a stay-at-home order, on June 9. New Jersey cautiously reopened businesses over the course of May and June, and rolling reopenings were set to continue into July, though Mr. Murphy indefinitely delayed plans to reopen indoor dining.",https://www.nj.com/business/2020/06/nj-reopening-dates-whats-open-whats-closed-casinos-daycares-gyms-schools-libraries-stores-mvc-and-more.html,Outdoor dining at restaurants,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Movie theaters,"Libraries for curbside pickup; Casinos; Playgrounds, water parks, amusement parks; Museums, libraries, aquariums; Bowling alleys, batting cages, shooting ranges",Retail stores; Malls,Golf courses; Beaches; Campgrounds; Gyms for personal training; Pools,Construction,"Breweries, wineries and distilleries",True,,8882190
NM,New Mexico,reversing,Stay-at-home order expired on May 31.,,2020-05-31,"Gov. Michelle Lujan Grisham, a Democrat, extended New Mexico’s stay-at-home order through the end of May but allowed some sectors to reopen at limited capacities beginning May 16. Three northwestern counties with the most severe outbreaks were shut down until June 1. The next phase of reopenings is delayed indefinitely. Ms. Grisham ordered restaurants to once again restrict indoor dining beginning July 13.",https://www.lcsun-news.com/story/news/2020/06/25/update-coronavirus-new-mexico-governor-michelle-lujan-grisham-conference/3258020001/,Restaurant dining; Breweries,"Pet grooming and boarding, veterinary services; Hair salons, barbershops, tattoo parlors, massage parlors, nail salons",Casinos; Theaters,,Retail stores; Malls,"State parks; Golf courses, boating; Gyms, pools",Offices,Bars,True,,2096829
NV,Nevada,reversing,Stay-at-home order expired on May 9.,,2020-05-09,"Gov. Steve Sisolak, a Democrat, kept pace with other states and reopened many businesses starting May 9. Casinos and gaming were allowed to resume operations on June 4. In response to a recent spike in cases, Mr. Sisolak tabled plans for Phase 3, closed bars in some counties, and required Nevadans to wear face masks. ",https://abcnews.go.com/US/nevada-ready-enter-phase-reopening-governor/story?id=71274969,Restaurants; Bars in some counties,"Barbershops, hair salons and nail salons; Massage therapy; Tattoo and piercing shops",,"Museums, art galleries, zoos and aquariums; Movie theaters, bowling alleys; Gaming",Retail stores; Malls,"Golf courses, pickleball, tennis courts; State parks; Gyms; Pools and water parks",,,True,,3080156
NY,New York,reopening,Stay-at-home order expired on May 28.,,2020-05-28,"Gov. Andrew M. Cuomo, a Democrat, announced limited and phased reopenings by region starting May 15. Most of the state is now in the fourth stage of reopening, and malls were allowed to open beginning July 10. New York City is in a modified third stage, where indoor dining at restaurants remains prohibited.",https://newyork.cbslocal.com/2020/06/29/coronavirus-nyc-indoor-dining/,Outdoor dining at restaurants in some regions; Indoor dining in some regions,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons","Movie theaters, casinos; Amusement parks, bowling alleys",Museums and aquariums in some regions,Retail stores; Malls in some regions,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks in some regions","Construction, manufacturing; Offices; Film and TV production in some regions",,True,Gyms,19453561
OH,Ohio,reopening,Stay-at-home order expired on May 29.,,2020-05-29,"Gov. Mike DeWine, a Republican, lifted a stay-at-home order on May 1 and issued a “Stay Safe Ohio Order” that allowed businesses to reopen in phases, starting with retail stores, salons and restaurants. In early July, Mr. DeWine asked 12 counties to limit activities as much as possible, though he did not order any closures. People in those counties are now required to wear face masks in public.",https://www.dispatch.com/news/20200612/museums-theaters-parks-herersquos-what-is-open-around-columbus,Restaurant dining and bars,"Salons, barbershops, etc.",,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Retail stores,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs","Manufacturing, distribution, construction; Offices",,True,,11689100
OK,Oklahoma,reopened,Did not have a statewide stay-at-home order.,,,"Gov. Kevin Stitt, a Republican, implemented a three-phase approach to reopening businesses starting April 24. Phase 3 began in June, when all restrictions were lifted on businesses and group gatherings provided people “consider social distancing.”",https://www.tulsaworld.com/news/oklahoma-to-begin-phase-3-of-reopening-monday-after-covid-19-data-shows-promising-downward/article_542617ce-c9e8-5825-bfdd-db6796999793.html#18,Restaurant dining; Bars,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",,"Movie theaters, sports venues, museums; Nightclubs",Retail stores,State parks; Zoos; Gyms,Offices,,True,,3956971
OR,Oregon,pausing,Stay-at-home order in effect since March 23.,2020-03-23,,"Gov. Kate Brown, a Democrat, started a three-phase regional reopening on May 15. All but four counties have now entered the second phase, but Ms. Brown said Phase 3 would not come until September at the earliest. Eigh counties are on a watch list and could see businesses close if cases increase.",https://www.kgw.com/article/news/health/coronavirus/multnomah-county-approved-to-move-to-phase-1-on-friday/283-072a954f-d8fe-4675-a5c5-21dac016e964,Restaurants and bars,"Salons, barbershops",,"Movie theaters, bowling alleys in most counties",Retail stores,Some state parks; Pools in most counties; Gyms,Offices in most counties,,True,,4217737
PA,Pennsylvania,reopened,Stay-at-home order expired on June 4.,,2020-06-04,"Gov. Tom Wolf, a Democrat, took a county-by-county approach to shutting down, before issuing a statewide stay-at-home order on April 1. He is taking a similar approach to reopening, allowing counties to open in phases. By July 3, all of the state was in the last phase of reopening, but wearing a mask is now required in all public places.",https://www.mcall.com/coronavirus/mc-nws-coronavirus-pa-counties-reopening-20200509-hqwbnzot5bb6tlw3g3j7qalxhq-story.html,Restaurants and bars,"Hair salons, barbershops, spas",,"Casinos, theaters",Retail stores; Shopping malls,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",,,True,,12801989
PR,Puerto Rico,reopening,Curfew in effect since March 15 and set to expire July 22.,2020-03-15,2020-07-22,"Gov. Wanda Vázquez, a member of the New Progressive Party, announced a curfew and closed non-essential businesses in March. Restaurants and retail stores were allowed to reopen in late May. In mid-June, Ms. Vázquez eased the lockdown and allowed most businesses to reopen, though she said she would reimpose restrictions if residents did not follow social distancing guidelines.",https://www.nbcnews.com/news/latino/puerto-rico-extends-coronavirus-curfew-longest-one-among-u-s-n1232406,Restaurants,"Salons, barbershops; Pet grooming; Spas",,"Museums, movie theaters; Outdoor concerts and other open venues",Retail stores; Malls,Beaches; Gyms,,,True,,3193694
RI,Rhode Island,reopening,Stay-at-home order expired on May 8.,,2020-05-08,"Gov. Gina Raimondo, a Democrat, announced a three-phase reopening plan starting with retail stores after her stay-at-home order lifted on May 8. Rhode Island entered its second phase of reopening in June, with restaurants, gyms, salons and beaches allowed to open. The third phase was set to begin June 30, though the governor decided to limit indoor social gatherings to 25 people.",https://www.necn.com/news/coronavirus/ri-gov-raimondo-expected-to-announce-start-date-for-phase-3-or-reopening/2291703/,Restaurant dining,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",,,Retail stores,State parks; Beaches; Gyms; Casinos; Campgrounds,Offices; Malls,,True,,1059361
